st	accession	sp	gn
Mycetocola_reblochoni_REB411	GCF_900163835.1	Mycetocola reblochoni	Mycetocola
Mycoavidus_cysteinexigens	GCF_003966915.1	Mycoavidus cysteinexigens	Mycoavidus
Mycobacteriaceae_bacterium_1482268.1	GCF_001665255.1	Mycobacteriaceae bacterium	Mycobacteriaceae
Mycobacterium_lacus	GCF_002102215.1	Mycobacterium lacus	Mycobacterium
Mycobacteroides_franklinii	GCF_002013895.1	Mycobacteroides franklinii	Mycobacteroides
Mycolicibacillus_koreensis	GCF_002104795.1	Mycolicibacillus koreensis	Mycolicibacillus
Mycolicibacter_hiberniae	GCF_002101655.1	Mycolicibacter hiberniae	Mycolicibacter
Mycolicibacterium_goodii	GCF_001187505.1	Mycolicibacterium goodii	Mycolicibacterium
Mycoplana_dimorpha	GCF_003046475.1	Mycoplana dimorpha	Mycoplana
Mycoplasma_canadense	GCF_000828855.1	Mycoplasma canadense	Mycoplasma
Myroides_phaeus	GCF_900099675.1	Myroides phaeus	Myroides
Myxococcus_macrosporus	GCF_000219105.1	Myxococcus macrosporus	Myxococcus
Myxosarcina_sp._GI1	GCF_000756305.1	Myxosarcina sp.	Myxosarcina
Nafulsella_turpanensis_ZLM-10	GCF_000346615.1	Nafulsella turpanensis	Nafulsella
Nakamurella_multipartita_DSM_44233	GCF_000024365.1	Nakamurella multipartita	Nakamurella
Nannocystis_exedens	GCF_900112715.1	Nannocystis exedens	Nannocystis
Natranaerobius_trueperi	GCF_002216005.1	Natranaerobius trueperi	Natranaerobius
Natribacillus_halophilus	GCF_900100185.1	Natribacillus halophilus	Natribacillus
Natronincola_ferrireducens	GCF_900100845.1	Natronincola ferrireducens	Natronincola
Natronohydrobacter_thiooxidans	GCF_001884735.1	Natronohydrobacter thiooxidans	Natronohydrobacter
Nautella_sp._ECSMB14104	GCF_000972285.1	Nautella sp.	Nautella
Nautilia_profundicola_AmH	GCF_000021725.1	Nautilia profundicola	Nautilia
Ndongobacter_massiliensis	GCF_900120375.1	Ndongobacter massiliensis	Ndongobacter
Necropsobacter_massiliensis	GCF_000827595.2	Necropsobacter massiliensis	Necropsobacter
Negadavirga_sp._SW125	GCF_003347495.1	Negadavirga sp.	Negadavirga
Negativibacillus_massiliensis	GCF_900148495.1	Negativibacillus massiliensis	Negativibacillus
Negativicoccus_massiliensis	GCF_900155405.1	Negativicoccus massiliensis	Negativicoccus
Neglecta_timonensis	GCF_900048895.1	Neglecta timonensis	Neglecta
Neiella_marina	GCF_002165625.1	Neiella marina	Neiella
Neisseria_meningitidis_MC58	GCF_000008805.1	Neisseria meningitidis	Neisseria
Neisseriaceae_bacterium_DSM_100970	GCF_002892535.1	Neisseriaceae bacterium	Neisseriaceae
Neoasaia_chiangmaiensis	GCF_002005465.1	Neoasaia chiangmaiensis	Neoasaia
Neobitarella_massiliensis	GCF_900289145.1	Neobitarella massiliensis	Neobitarella
Neochlamydia_sp._S13	GCF_000648235.2	Neochlamydia sp.	Neochlamydia
Neofamilia_massiliensis	GCF_001299475.1	Neofamilia massiliensis	Neofamilia
Neokomagataea_thailandica_NBRC_106555	GCF_001598495.1	Neokomagataea thailandica	Neokomagataea
Neomegalonema_perideroedes_DSM_15528	GCF_000374145.1	Neomegalonema perideroedes	Neomegalonema
Neomicrococcus_aestuarii	GCF_001887245.1	Neomicrococcus aestuarii	Neomicrococcus
Neorhizobium_galegae_bv._orientalis_str._HAMBI_540	GCF_000731315.1	Neorhizobium galegae	Neorhizobium
Neorickettsia_risticii_str._Illinois	GCF_000022525.1	Neorickettsia risticii	Neorickettsia
Neosynechococcus_sphagnicola_sy1	GCF_000775285.1	Neosynechococcus sphagnicola	Neosynechococcus
Neptunicoccus_sediminis	GCF_001719615.1	Neptunicoccus sediminis	Neptunicoccus
Neptuniibacter_marinus	GCF_001597725.1	Neptuniibacter marinus	Neptuniibacter
Neptunomonas_antarctica	GCF_001305295.1	Neptunomonas antarctica	Neptunomonas
Nereida_ignava	GCF_001049735.1	Nereida ignava	Nereida
Nesiotobacter_exalbescens_DSM_16456	GCF_000422785.1	Nesiotobacter exalbescens	Nesiotobacter
Nesterenkonia_alba_DSM_19423	GCF_000421745.1	Nesterenkonia alba	Nesterenkonia
Nevskia_soli_DSM_19509	GCF_000711955.1	Nevskia soli	Nevskia
Niabella_soli_DSM_19437	GCF_000243115.2	Niabella soli	Niabella
Niameybacter_massiliensis	GCF_001282685.1	Niameybacter massiliensis	Niameybacter
Niastella_yeongjuensis	GCF_900110245.1	Niastella yeongjuensis	Niastella
Nigerium_massiliense	GCF_000826085.1	Nigerium massiliense	Nigerium
Nioella_nitratireducens	GCF_001879715.1	Nioella nitratireducens	Nioella
Nisaea_denitrificans_DSM_18348	GCF_000426505.1	Nisaea denitrificans	Nisaea
Nissabacter_archeti	GCF_900130115.1	Nissabacter archeti	Nissabacter
Nitratifractor_salsuginis_DSM_16511	GCF_000186245.1	Nitratifractor salsuginis	Nitratifractor
Nitratireductor_basaltis	GCF_001953055.1	Nitratireductor basaltis	Nitratireductor
Nitratiruptor_tergarcus_DSM_16512	GCF_900176045.1	Nitratiruptor tergarcus	Nitratiruptor
Nitriliruptor_alkaliphilus_DSM_45188	GCF_000969705.1	Nitriliruptor alkaliphilus	Nitriliruptor
Nitrincola_lacisaponensis	GCF_000691225.1	Nitrincola lacisaponensis	Nitrincola
Nitritalea_halalkaliphila_LW7	GCF_000265075.1	Nitritalea halalkaliphila	Nitritalea
Nitrobacter_winogradskyi_Nb-255	GCF_000012725.1	Nitrobacter winogradskyi	Nitrobacter
Nitrococcus_mobilis_Nb-231	GCF_000153205.1	Nitrococcus mobilis	Nitrococcus
Nitrolancea_hollandica_Lb	GCF_000297255.1	Nitrolancea hollandica	Nitrolancea
Nitrosococcus_watsonii_C-113	GCF_000143085.1	Nitrosococcus watsonii	Nitrosococcus
Nitrosomonas_marina	GCF_900110145.1	Nitrosomonas marina	Nitrosomonas
Nitrosospira_multiformis	GCF_900103165.1	Nitrosospira multiformis	Nitrosospira
Nitrosovibrio_tenuis	GCF_900109785.1	Nitrosovibrio tenuis	Nitrosovibrio
Nitrospina_gracilis_3/211	GCF_000341545.2	Nitrospina gracilis	Nitrospina
Nitrospira_japonica	GCF_900169565.1	Nitrospira japonica	Nitrospira
Nitrospirae_bacterium_HCH-1	GCF_001541255.1	Nitrospirae bacterium	Nitrospirae
Nitrospirillum_amazonense_CBAmc	GCF_000730165.1	Nitrospirillum amazonense	Nitrospirillum
Niveispirillum_irakense_DSM_11586	GCF_000429645.1	Niveispirillum irakense	Niveispirillum
Nocardia_takedensis_NBRC_100417	GCF_000308695.1	Nocardia takedensis	Nocardia
Nocardioides_alkalitolerans_DSM_16699	GCF_000426525.1	Nocardioides alkalitolerans	Nocardioides
Nocardiopsaceae_bacterium_YIM_96095	GCF_003725585.1	Nocardiopsaceae bacterium	Nocardiopsaceae
Nocardiopsis_alkaliphila_YIM_80379	GCF_000341005.1	Nocardiopsis alkaliphila	Nocardiopsis
Nodosilinea_nodulosa_PCC_7104	GCF_000309385.1	Nodosilinea nodulosa	Nodosilinea
Nodularia_spumigena_CCY9414	GCF_000340565.2	Nodularia spumigena	Nodularia
Nonlabens_dokdonensis_DSW-6	GCF_000332115.1	Nonlabens dokdonensis	Nonlabens
Nonomuraea_jiangxiensis	GCF_900099965.1	Nonomuraea jiangxiensis	Nonomuraea
Nosocomiicoccus_massiliensis	GCF_000438455.1	Nosocomiicoccus massiliensis	Nosocomiicoccus
Nostoc_azollae_0708	GCF_000196515.1	Nostoc azollae	Nostoc
Nostocales_cyanobacterium_HT-58-2	GCF_002163975.1	Nostocales cyanobacterium	Nostocales
Notoacmeibacter_marinus	GCF_003336765.1	Notoacmeibacter marinus	Notoacmeibacter
Novibacillus_thermophilus	GCF_002005165.1	Novibacillus thermophilus	Novibacillus
Noviherbaspirillum_humi	GCF_900188095.1	Noviherbaspirillum humi	Noviherbaspirillum
Novimethylophilus_kurashikiensis	GCF_003112435.1	Novimethylophilus kurashikiensis	Novimethylophilus
Novispirillum_itersonii_subsp._itersonii_ATCC_12639	GCF_000381985.1	Novispirillum itersonii	Novispirillum
Novosphingobium_fuchskuhlense	GCF_001519075.1	Novosphingobium fuchskuhlense	Novosphingobium
Nubsella_zeaxanthinifaciens	GCF_003313335.1	Nubsella zeaxanthinifaciens	Nubsella
Numidum_massiliense	GCF_001375555.1	Numidum massiliense	Numidum
Obesumbacterium_proteus	GCF_001586165.1	Obesumbacterium proteus	Obesumbacterium
Oblitimonas_alkaliphila	GCF_001267175.1	Oblitimonas alkaliphila	Oblitimonas
Occallatibacter_savannae	GCF_003131205.1	Occallatibacter savannae	Occallatibacter
Occidentia_massiliensis	GCF_000309075.1	Occidentia massiliensis	Occidentia
Oceanibacterium_hippocampi	GCF_900172325.1	Oceanibacterium hippocampi	Oceanibacterium
Oceanibaculum_indicum_P24	GCF_000299935.1	Oceanibaculum indicum	Oceanibaculum
Oceanicaulis_alexandrii_DSM_11625	GCF_000420265.1	Oceanicaulis alexandrii	Oceanicaulis
Oceanicella_actignis	GCF_900143155.1	Oceanicella actignis	Oceanicella
Oceanicoccus_sagamiensis	GCF_002117105.1	Oceanicoccus sagamiensis	Oceanicoccus
Oceanicola_litoreus	GCF_900142295.1	Oceanicola litoreus	Oceanicola
Oceaniglobus_indicus	GCF_002751875.1	Oceaniglobus indicus	Oceaniglobus
Oceanihabitans_sediminis	GCF_003315315.1	Oceanihabitans sediminis	Oceanihabitans
Oceanimonas_smirnovii_ATCC_BAA-899	GCF_000381965.1	Oceanimonas smirnovii	Oceanimonas
Oceaniovalibus_guishaninsula_JLT2003	GCF_000299575.1	Oceaniovalibus guishaninsula	Oceaniovalibus
Oceanisphaera_psychrotolerans	GCF_001870485.1	Oceanisphaera psychrotolerans	Oceanisphaera
Oceanispirochaeta_sp._M1	GCF_003346715.1	Oceanispirochaeta sp.	Oceanispirochaeta
Oceanithermus_profundus_DSM_14977	GCF_000183745.1	Oceanithermus profundus	Oceanithermus
Oceanivirga_salmonicida	GCF_001517915.1	Oceanivirga salmonicida	Oceanivirga
Oceanobacillus_senegalensis	GCF_900176885.1	Oceanobacillus senegalensis	Oceanobacillus
Oceanobacter_kriegii_DSM_6294	GCF_000422845.1	Oceanobacter kriegii	Oceanobacter
Oceanococcus_atlanticus	GCF_002088235.1	Oceanococcus atlanticus	Oceanococcus
Oceanospirillales_bacterium_WDS2A16A	GCF_003577475.1	Oceanospirillales bacterium	Oceanospirillales
Oceanospirillum_multiglobuliferum	GCF_900167095.1	Oceanospirillum multiglobuliferum	Oceanospirillum
Oceanotoga_teriensis	GCF_003148465.1	Oceanotoga teriensis	Oceanotoga
Ochrobactrum_anthropi_ATCC_49188	GCF_000017405.1	Ochrobactrum anthropi	Ochrobactrum
Ochrovirga_pacifica	GCF_000220525.1	Ochrovirga pacifica	Ochrovirga
Octadecabacter_temperatus	GCF_001187845.1	Octadecabacter temperatus	Octadecabacter
Odoribacter_splanchnicus_DSM_20712	GCF_000190535.1	Odoribacter splanchnicus	Odoribacter
Oenococcus_kitaharae_DSM_17330	GCF_000241055.1	Oenococcus kitaharae	Oenococcus
Oerskovia_turbata	GCF_000718325.1	Oerskovia turbata	Oerskovia
Ohtaekwangia_koreensis	GCF_900167975.1	Ohtaekwangia koreensis	Ohtaekwangia
Okeania_hirsuta	GCF_003838225.1	Okeania hirsuta	Okeania
Okibacterium_fritillariae	GCF_900167575.1	Okibacterium fritillariae	Okibacterium
Olavius_algarvensis_spirochete_endosymbiont	GCF_900608495.1	Olavius algarvensis	Olavius
Olegusella_massiliensis	GCF_900078545.1	Olegusella massiliensis	Olegusella
Oleiagrimonas_soli	GCF_000761445.1	Oleiagrimonas soli	Oleiagrimonas
Oleibacter_marinus	GCF_900156675.1	Oleibacter marinus	Oleibacter
Oleiphilus_messinensis	GCF_002162375.1	Oleiphilus messinensis	Oleiphilus
Oleispira_antarctica_RB-8	GCF_000967895.1	Oleispira antarctica	Oleispira
Oleomonas_sp._K1W22B-8	GCF_003590945.1	Oleomonas sp.	Oleomonas
Oligella_urethralis_DSM_7531	GCF_000372065.1	Oligella urethralis	Oligella
Oligotropha_carboxidovorans_OM5	GCF_000218565.1	Oligotropha carboxidovorans	Oligotropha
Olivibacter_sitiensis_DSM_17696	GCF_000427965.1	Olivibacter sitiensis	Olivibacter
Olleya_marilimosa_CAM030	GCF_000518485.1	Olleya marilimosa	Olleya
Olsenella_scatoligenes	GCF_001494635.1	Olsenella scatoligenes	Olsenella
Opitutaceae_bacterium_TAV5	GCF_000242935.2	Opitutaceae bacterium	Opitutaceae
Opitutus_terrae_PB90-1	GCF_000019965.1	Opitutus terrae	Opitutus
Orbus_hercynius	GCF_003634275.1	Orbus hercynius	Orbus
Orenia_marismortui_DSM_5156	GCF_000379025.1	Orenia marismortui	Orenia
Oribacterium_parvum_ACB1	GCF_000238055.2	Oribacterium parvum	Oribacterium
Orientia_chuto_str._Dubai	GCF_000964595.1	Orientia chuto	Orientia
Ornatilinea_apprima	GCF_001306115.1	Ornatilinea apprima	Ornatilinea
Ornithinibacillus_contaminans	GCF_001038425.2	Ornithinibacillus contaminans	Ornithinibacillus
Ornithinimicrobium_pekingense_DSM_21552	GCF_000421185.1	Ornithinimicrobium pekingense	Ornithinimicrobium
Ornithobacterium_rhinotracheale_DSM_15997	GCF_000265465.1	Ornithobacterium rhinotracheale	Ornithobacterium
Orrella_dioscoreae	GCF_900089455.2	Orrella dioscoreae	Orrella
Oryzisolibacter_propanilivorax	GCF_900103645.1	Oryzisolibacter propanilivorax	Oryzisolibacter
Oscillatoria_acuminata_PCC_6304	GCF_000317105.1	Oscillatoria acuminata	Oscillatoria
Oscillatoriales_cyanobacterium_JSC-12	GCF_000309945.1	Oscillatoriales cyanobacterium	Oscillatoriales
Oscillibacter_ruminantium_GH1	GCF_000307265.1	Oscillibacter ruminantium	Oscillibacter
Oscillochloris_trichoides_DG-6	GCF_000152145.1	Oscillochloris trichoides	Oscillochloris
Oscillospiraceae_bacterium_VE202-24	GCF_000471765.1	Oscillospiraceae bacterium	Oscillospiraceae
Otariodibacter_oris	GCF_003634665.1	Otariodibacter oris	Otariodibacter
Ottowia_thiooxydans_DSM_14619	GCF_000422885.1	Ottowia thiooxydans	Ottowia
Owenweeksia_hongkongensis_DSM_17368	GCF_000236705.1	Owenweeksia hongkongensis	Owenweeksia
Oxalobacter_formigenes	GCF_002127965.1	Oxalobacter formigenes	Oxalobacter
Oxalobacteraceae_bacterium_AB_14	GCF_000381565.1	Oxalobacteraceae bacterium	Oxalobacteraceae
Oxobacter_pfennigii	GCF_001317355.1	Oxobacter pfennigii	Oxobacter
Pacificibacter_marinus	GCF_900109555.1	Pacificibacter marinus	Pacificibacter
Pacificimonas_flava	GCF_002211145.1	Pacificimonas flava	Pacificimonas
Paenalcaligenes_hominis	GCF_002005365.1	Paenalcaligenes hominis	Paenalcaligenes
Paenarthrobacter_aurescens_TC1	GCF_000014925.1	Paenarthrobacter aurescens	Paenarthrobacter
Paenibacillaceae_bacterium_GAS479	GCF_900105225.1	Paenibacillaceae bacterium	Paenibacillaceae
Paenibacillus_massiliensis_2301065_=_DSM_16942	GCF_000377505.1	Paenibacillus massiliensis	Paenibacillus
Paeniclostridium_sordellii	GCF_001950115.1	Paeniclostridium sordellii	Paeniclostridium
Paeniglutamicibacter_antarcticus	GCF_900010755.1	Paeniglutamicibacter antarcticus	Paeniglutamicibacter
Paenirhodobacter_enshiensis	GCF_000740785.1	Paenirhodobacter enshiensis	Paenirhodobacter
Paenisporosarcina_indica	GCF_001939075.1	Paenisporosarcina indica	Paenisporosarcina
Pajaroellobacter_abortibovis	GCF_001931505.1	Pajaroellobacter abortibovis	Pajaroellobacter
Palleronia_marisminoris	GCF_900172315.1	Palleronia marisminoris	Palleronia
Paludibacter_jiangxiensis	GCF_001618385.1	Paludibacter jiangxiensis	Paludibacter
Paludibacterium_yongneupense_DSM_18731	GCF_000422925.1	Paludibacterium yongneupense	Paludibacterium
Paludifilum_halophilum	GCF_002245355.1	Paludifilum halophilum	Paludifilum
Paludisphaera_borealis	GCF_001956985.1	Paludisphaera borealis	Paludisphaera
Pandoraea_thiooxydans	GCF_001931675.1	Pandoraea thiooxydans	Pandoraea
Pannonibacter_phragmitetus	GCF_001484065.1	Pannonibacter phragmitetus	Pannonibacter
Pantoea_alhagi	GCF_002101395.1	Pantoea alhagi	Pantoea
Papillibacter_cinnamivorans_DSM_12816	GCF_900176335.1	Papillibacter cinnamivorans	Papillibacter
Parabacteroides_chartae	GCF_900168155.1	Parabacteroides chartae	Parabacteroides
Paraburkholderia_sacchari	GCF_000785435.1	Paraburkholderia sacchari	Paraburkholderia
Parachlamydia_acanthamoebae_UV-7	GCF_000253035.1	Parachlamydia acanthamoebae	Parachlamydia
Parachlamydiaceae_bacterium_HS-T3	GCF_000829755.1	Parachlamydiaceae bacterium	Parachlamydiaceae
Paraclostridium_bifermentans_ATCC_638	GCF_000452245.2	Paraclostridium bifermentans	Paraclostridium
Paracoccus_homiensis	GCF_900111675.1	Paracoccus homiensis	Paracoccus
Paraeggerthella_hongkongensis	GCF_003340345.1	Paraeggerthella hongkongensis	Paraeggerthella
Paraferrimonas_haliotis	GCF_002282895.1	Paraferrimonas haliotis	Paraferrimonas
Parafilimonas_terrae	GCF_900115755.1	Parafilimonas terrae	Parafilimonas
Parageobacillus_toebii_NBRC_107807	GCF_001598935.1	Parageobacillus toebii	Parageobacillus
Paraglaciecola_polaris_LMG_21857	GCF_000315055.1	Paraglaciecola polaris	Paraglaciecola
Parahaliea_mediterranea	GCF_003402235.1	Parahaliea mediterranea	Parahaliea
Paraliobacillus_ryukyuensis	GCF_900168775.1	Paraliobacillus ryukyuensis	Paraliobacillus
Paramaledivibacter_caminithermalis_DSM_15212	GCF_900142245.1	Paramaledivibacter caminithermalis	Paramaledivibacter
Paramesorhizobium_deserti	GCF_001558695.1	Paramesorhizobium deserti	Paramesorhizobium
Paramuribaculum_intestinale	GCF_003024925.1	Paramuribaculum intestinale	Paramuribaculum
Paraoerskovia_marina_DSM_21750	GCF_000701465.1	Paraoerskovia marina	Paraoerskovia
Parapedobacter_indicus	GCF_900113765.1	Parapedobacter indicus	Parapedobacter
Paraperlucidibaca_baekdonensis	GCF_003387535.1	Paraperlucidibaca baekdonensis	Paraperlucidibaca
Paraphotobacterium_marinum	GCF_002216855.1	Paraphotobacterium marinum	Paraphotobacterium
Paraprevotella_xylaniphila_YIT_11841	GCF_000205165.1	Paraprevotella xylaniphila	Paraprevotella
Pararheinheimera_texasensis_DSM_17496	GCF_000711985.1	Pararheinheimera texasensis	Pararheinheimera
Pararhizobium_polonicum	GCF_001687365.1	Pararhizobium polonicum	Pararhizobium
Pararhodobacter_aggregans	GCF_003054005.1	Pararhodobacter aggregans	Pararhodobacter
Pararhodospirillum_photometricum_DSM_122	GCF_000284415.1	Pararhodospirillum photometricum	Pararhodospirillum
Parasaccharibacter_apium	GCF_002079945.1	Parasaccharibacter apium	Parasaccharibacter
Parascardovia_denticolens_DSM_10105_=_JCM_12538	GCF_001042675.1	Parascardovia denticolens	Parascardovia
Parasphingopyxis_lamellibrachiae	GCF_003385775.1	Parasphingopyxis lamellibrachiae	Parasphingopyxis
Parasporobacterium_paucivorans_DSM_15970	GCF_900141895.1	Parasporobacterium paucivorans	Parasporobacterium
Parasutterella_excrementihominis_YIT_11859	GCF_000205025.1	Parasutterella excrementihominis	Parasutterella
Parendozoicomonas_haliclonae	GCF_900174585.1	Parendozoicomonas haliclonae	Parendozoicomonas
Parolsenella_catena	GCF_003966955.1	Parolsenella catena	Parolsenella
Parvibacter_caecicola	GCF_003725335.1	Parvibacter caecicola	Parvibacter
Parvibaculum_lavamentivorans_DS-1	GCF_000017565.1	Parvibaculum lavamentivorans	Parvibaculum
Parvibium_lacunae	GCF_003335215.1	Parvibium lacunae	Parvibium
Parvimonas_micra	GCF_000800295.1	Parvimonas micra	Parvimonas
Parvularcula_oceani	GCF_000733125.1	Parvularcula oceani	Parvularcula
Pasteurella_skyensis	GCF_900109845.1	Pasteurella skyensis	Pasteurella
Pasteurellaceae_bacterium_15-036681	GCF_002002485.1	Pasteurellaceae bacterium	Pasteurellaceae
Patulibacter_minatonensis_DSM_18081	GCF_000519325.1	Patulibacter minatonensis	Patulibacter
Paucibacter_sp._KBW04	GCF_003852425.1	Paucibacter sp.	Paucibacter
Paucisalibacillus_globulus_DSM_18846	GCF_000482485.1	Paucisalibacillus globulus	Paucisalibacillus
Pectobacterium_carotovorum_subsp._carotovorum_PC1	GCF_000023605.1	Pectobacterium carotovorum	Pectobacterium
Pediococcus_damnosus	GCF_001611135.1	Pediococcus damnosus	Pediococcus
Pedobacter_arcticus_A12	GCF_000302595.1	Pedobacter arcticus	Pedobacter
Pedosphaera_parvula_Ellin514	GCF_000172555.1	Pedosphaera parvula	Pedosphaera
Pelagibaca_abyssi	GCF_001975705.1	Pelagibaca abyssi	Pelagibaca
Pelagibacteraceae_bacterium_ETNP-OMZ-SAG-B3	GCF_001719525.1	Pelagibacteraceae bacterium	Pelagibacteraceae
Pelagibacterium_luteolum	GCF_900100665.1	Pelagibacterium luteolum	Pelagibacterium
Pelagicola_litorisediminis	GCF_900172295.1	Pelagicola litorisediminis	Pelagicola
Pelagimonas_varians	GCF_003208435.1	Pelagimonas varians	Pelagimonas
Pelagirhabdus_alkalitolerans	GCF_900096905.1	Pelagirhabdus alkalitolerans	Pelagirhabdus
Pelagivirga_sediminicola	GCF_003072125.1	Pelagivirga sediminicola	Pelagivirga
Pelistega_indica	GCF_000506865.1	Pelistega indica	Pelistega
Pelobacter_acetylenicus	GCF_001888165.1	Pelobacter acetylenicus	Pelobacter
Pelobium_manganitolerans	GCF_003609575.1	Pelobium manganitolerans	Pelobium
Pelodictyon_phaeoclathratiforme_BU-1	GCF_000020645.1	Pelodictyon phaeoclathratiforme	Pelodictyon
Pelolinea_submarina	GCF_003966975.1	Pelolinea submarina	Pelolinea
Pelomonas_puraquae	GCF_002205845.1	Pelomonas puraquae	Pelomonas
Pelosinus_fermentans_JBW45	GCF_000271665.2	Pelosinus fermentans	Pelosinus
Peptoanaerobacter_stomatis	GCF_000238095.2	Peptoanaerobacter stomatis	Peptoanaerobacter
Peptoclostridium_acidaminophilum_DSM_3953	GCF_000597865.1	Peptoclostridium acidaminophilum	Peptoclostridium
Peptococcaceae_bacterium_CEB3	GCF_001029295.1	Peptococcaceae bacterium	Peptococcaceae
Peptococcus_niger	GCF_900101835.1	Peptococcus niger	Peptococcus
Peptoniphilus_asaccharolyticus_DSM_20463	GCF_900176115.1	Peptoniphilus asaccharolyticus	Peptoniphilus
Peptostreptococcaceae_bacterium_pGA-8	GCF_900112915.1	Peptostreptococcaceae bacterium	Peptostreptococcaceae
Peptostreptococcus_stomatis_DSM_17678	GCF_000147675.1	Peptostreptococcus stomatis	Peptostreptococcus
Perlucidibaca_aquatica	GCF_001676655.1	Perlucidibaca aquatica	Perlucidibaca
Persephonella_marina_EX-H1	GCF_000021565.1	Persephonella marina	Persephonella
Persicobacter_sp._JZB09	GCF_001308105.1	Persicobacter sp.	Persicobacter
Petrimonas_mucosa	GCF_900095795.1	Petrimonas mucosa	Petrimonas
Petroclostridium_xylanilyticum	GCF_002252565.1	Petroclostridium xylanilyticum	Petroclostridium
Petrotoga_mobilis_SJ95	GCF_000018605.1	Petrotoga mobilis	Petrotoga
